类别,名称或地点,本地文件,宽,高,来源类型,来源网页,原图链接,说明
官方壁纸、头像与横幅,【速川六花】,04-official-sns/rikka_sns_icon1.jpg,400,400,Key 官方配布,https://key.visualarts.gr.jp/anemoi/special.html,https://va-trialdist.azureedge.net/key/anemoi/sns_icon/rikka_sns_icon1.jpg,
官方角色立绘,小森 健こもり けん,05-official-characters/character_11.png,810,1189,Key 官网,https://key.visualarts.gr.jp/anemoi/character.html,https://key.visualarts.gr.jp/anemoi/common/image/character_11.png,
官方角色立绘,尾道文弥おのみち ふみや,05-official-characters/character_7.png,810,1189,Key 官网,https://key.visualarts.gr.jp/anemoi/character.html,https://key.visualarts.gr.jp/anemoi/common/image/character_7.png,
官方角色立绘,敦澤 塁あつざわ るい,05-official-characters/character_8.png,810,1189,Key 官网,https://key.visualarts.gr.jp/anemoi/character.html,https://key.visualarts.gr.jp/anemoi/common/image/character_8.png,
官方角色立绘,敦澤 誠あつざわ まこと,05-official-characters/character_14.png,810,1189,Key 官网,https://key.visualarts.gr.jp/anemoi/character.html,https://key.visualarts.gr.jp/anemoi/common/image/character_14.png,
官方角色立绘,河瀬千春かわせ ちはる,05-official-characters/character_10.png,810,1189,Key 官网,https://key.visualarts.gr.jp/anemoi/character.html,https://key.visualarts.gr.jp/anemoi/common/image/character_10.png,
官方角色立绘,淡雪陽彩あわゆき ひいろ,05-official-characters/character_3.png,810,1189,Key 官网,https://key.visualarts.gr.jp/anemoi/character.html,https://key.visualarts.gr.jp/anemoi/common/image/character_3.png,
官方角色立绘,白渡小詠しらと こよみ,05-official-characters/character_4.png,810,1189,Key 官网,https://key.visualarts.gr.jp/anemoi/character.html,https://key.visualarts.gr.jp/anemoi/common/image/character_4.png,
官方角色立绘,総羽 湊ふさば みなと,05-official-characters/character_13.png,810,1189,Key 官网,https://key.visualarts.gr.jp/anemoi/character.html,https://key.visualarts.gr.jp/anemoi/common/image/character_13.png,
官方角色立绘,総羽愛乃ふさば あいの,05-official-characters/character_2.png,810,1189,Key 官网,https://key.visualarts.gr.jp/anemoi/character.html,https://key.visualarts.gr.jp/anemoi/common/image/character_2.png,
官方角色立绘,花山広美はなやま ひろみ,05-official-characters/character_12.png,810,1189,Key 官网,https://key.visualarts.gr.jp/anemoi/character.html,https://key.visualarts.gr.jp/anemoi/common/image/character_12.png,
官方角色立绘,華押つづらかおう つづら,05-official-characters/character_6.png,810,1189,Key 官网,https://key.visualarts.gr.jp/anemoi/character.html,https://key.visualarts.gr.jp/anemoi/common/image/character_6.png,
官方角色立绘,辻倉朱比華つじくら すぴか,05-official-characters/character_1.png,810,1189,Key 官网,https://key.visualarts.gr.jp/anemoi/character.html,https://key.visualarts.gr.jp/anemoi/common/image/character_1.png,
官方角色立绘,速川 穂乃夏はやかわ ほのか,05-official-characters/character_17.png,810,1189,Key 官网,https://key.visualarts.gr.jp/anemoi/character.html,https://key.visualarts.gr.jp/anemoi/common/image/character_17.png,
官方角色立绘,速川 麦,05-official-characters/character_16.png,810,1189,Key 官网,https://key.visualarts.gr.jp/anemoi/character.html,https://key.visualarts.gr.jp/anemoi/common/image/character_16.png,
官方角色立绘,速川六花はやかわ りっか,05-official-characters/character_5.png,810,1189,Key 官网,https://key.visualarts.gr.jp/anemoi/character.html,https://key.visualarts.gr.jp/anemoi/common/image/character_5.png,
官方角色立绘,鉱 玖琉未あらがね くるみ,05-official-characters/character_9.png,810,1189,Key 官网,https://key.visualarts.gr.jp/anemoi/character.html,https://key.visualarts.gr.jp/anemoi/common/image/character_9.png,
官网应援插画,APO+,06-official-guest-illustrations/ouen_img_20.jpg,800,1134,官网发布的客座应援插画,https://key.visualarts.gr.jp/anemoi/ouen/ouen_illust.html,https://key.visualarts.gr.jp/anemoi/ouen/image/ouen_img_20.jpg,
官网应援插画,NOCO,06-official-guest-illustrations/ouen_img_23.jpg,800,1129,官网发布的客座应援插画,https://key.visualarts.gr.jp/anemoi/ouen/ouen_illust.html,https://key.visualarts.gr.jp/anemoi/ouen/image/ouen_img_23.jpg,
官网应援插画,Nico-Tine,06-official-guest-illustrations/ouen_img_24.jpg,800,1129,官网发布的客座应援插画,https://key.visualarts.gr.jp/anemoi/ouen/ouen_illust.html,https://key.visualarts.gr.jp/anemoi/ouen/image/ouen_img_24.jpg,
官网应援插画,SWAV,06-official-guest-illustrations/ouen_img_5.jpg,800,1131,官网发布的客座应援插画,https://key.visualarts.gr.jp/anemoi/ouen/ouen_illust.html,https://key.visualarts.gr.jp/anemoi/ouen/image/ouen_img_5.jpg,
官网应援插画,Yuzuki,06-official-guest-illustrations/ouen_img_11.jpg,800,1131,官网发布的客座应援插画,https://key.visualarts.gr.jp/anemoi/ouen/ouen_illust.html,https://key.visualarts.gr.jp/anemoi/ouen/image/ouen_img_11.jpg,
官网应援插画,ZEN,06-official-guest-illustrations/ouen_img_28.jpg,858,1200,官网发布的客座应援插画,https://key.visualarts.gr.jp/anemoi/ouen/ouen_illust.html,https://key.visualarts.gr.jp/anemoi/ouen/image/ouen_img_28.jpg,
官网应援插画,maruma(まるま),06-official-guest-illustrations/ouen_img_1.jpg,800,1130,官网发布的客座应援插画,https://key.visualarts.gr.jp/anemoi/ouen/ouen_illust.html,https://key.visualarts.gr.jp/anemoi/ouen/image/ouen_img_1.jpg,
官网应援插画,あるみっく,06-official-guest-illustrations/ouen_img_25.jpg,800,1130,官网发布的客座应援插画,https://key.visualarts.gr.jp/anemoi/ouen/ouen_illust.html,https://key.visualarts.gr.jp/anemoi/ouen/image/ouen_img_25.jpg,
